ƒ,CREATOR & POST INFORMATION,,,,,,,,,CAMPAIGN DETAILS,,,,,TESTING INFO,,,,,,,,,PAID USAGE PERFORMANCE,,,,,,PAID DETAILS,,RENEWALS,,,,CONTRACT,
Creator's name,Instagram,Handle,Cost of content,"Percent of Ad Spend 
(if applicable)",Audience Size,Agency,Archetype,Persona,Sub persona,Primary Product,Secondary Product,Third Product,Routine Type,"Creator Post Date
OR
Date UGC received",Test Window (days),Test Window Ends,Link to Content,Status,Ad Launch Date,Ad Test Duration (days),Ad Test Expiration Date,Ad End Date,Link to Asana Task for Ad,Meta Spend,Content Cost Percentage (Target: <10%),CP1KAR,NB ROAS,NB % NEW VISITS,NB CPA,Ad Name,# OF ADS/ VARIATIONS,Cost to Renew,Renewal Status,Renewal Date,Offer (GWP?),Terms,Contract Link
Abigail Howard,INSTAGRAM,abigailghoward,"$3,500",,Mid-tier (100-500k),Superbloom,,,,Holiday Kit - MB,,,One Product,11/9/2025,90,,CONTENT,Paused,11/14,30,12/14,12/14,HC055,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|abigailghoward|LifeJuggler|RepeatMom|Superbloom|HC055|Ad00|AbigailHoward|25Wk46|MMBTrioTest,,,,,,,
Adaleta Avdic,INSTAGRAM,adaatude,"$8,000",,Established (500k-1M),Internal,,,,,,,,,,,CONTENT,Paused,11/14,30,12/14,12/1,HC061,,,,,,,Video|HolidayCollection|PinkyBronzeKit|Partnership|adaatude|LifeJuggler|RepeatMom|Testimonial|Internal|HC061|Ad00|AdaletaPinkyBronze|25Wk46|PinkyBronzeKitTest,,,,,,,
Liz Braga,INSTAGRAM,hellolizbraga,$550,,Micro (10-100k),Superfiliate,,,,MB,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,Liz Braga Contract x JRB
Claire Tammaro,INSTAGRAM,claire.tammaro,"$1,500",,Mid-tier (100-500k),Superbloom,Testimonial,Minimalist,NewMom,Holiday Kit - Party,,,One Product,10/30/2025,90,,CONTENT,Paused,11/14,30,12/14,12/14,HC048,,,,,,,Video|HolidayCollection|MiniLipKit|Partnership|claire.tammaro|LifeJuggler|Testimonial|Superbloom|HC048|Ad00|ClaireTammaro|25Wk46|MiniLipKitTest,,,,,,,
Ereka Vetrini,INSTAGRAM,erekav,"$8,500",,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,ProfessionalMom,Holiday Kit - Party,,,One Product,,,,CONTENT,Paused,11/14,15,11/29,3/5,HC068,,,,,,,Video|HolidayCollection|PartyKit|Partnership|erekav|LifeJuggler|ProfessionalMom|Testimonial|Internal|HC068|Ad00|ErekaPartyIterate|25Wk46|PartyKitTest,,,,,,,
Helen Leland,INSTAGRAM,helenleland,"$6,500",,Established (500k-1M),Superbloom,Testimonial,BeautyEnthusiast,,Holiday Kit - MB,,,One Product,11/8/2025,90,,CONTENT,Paused,11/14,30,12/14,12/14,HC058,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|helenleland|BeautyEnthusiast|Testimonial|Superbloom|HC058|Ad00|HelenLeland|25Wk46|MMBTrioTest,,,,,,,
Iliza Shlesinger,INSTAGRAM,ilizas,"$5,000",,Powerhouse (1M+),Internal,ProblemSolution,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,11/6/2026,,,CONTENT,Paused,11/14,30,12/14,12/14,HC067,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|ilizas|LifeJuggler|RepeatMom|Testimonial|Internal|HC067|Ad00|IlizaMMBIterate|25Wk46|MMBTrioTest,,,,,,,
Iliza Shlesinger,INSTAGRAM,ilizas,"$10,000",,Powerhouse (1M+),Internal,ProblemSolution,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,TBD,,,CONTENT,Paused,11/14,30,12/14,12/14,HC052,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|ilizas|LifeJuggler|RepeatMom|ProblemSolution|Internal|HC052|Ad00|IlizaShlesinger|25Wk45|MMBTrioTest,,,,,,,
Kennedy Crichlow,INSTAGRAM,kennedycrichlow,"$3,000",,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - Lip,,,One Product,10/31/2025,90,,CONTENT,Paused,11/14,30,12/14,12/14,HC047,,,,,,,Video|HolidayCollection|MiniLipKit|Partnership|kennedycrichlow|LifeJuggler|RepeatMom|Testimonial|Superbloom|HC047|Ad00|KennedyCrichlow|25Wk46|MiniLipKitTest,,,,,,,
Megan Hawthorne,INSTAGRAM,megan.hawthorne,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,12/12/2025,90,,CONTENT,Paused,11/14,30,12/14,12/14,HC057,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|megan.hawthorne|LifeJuggler|RepeatMom|Testimonial|Superbloom|HC057|Ad00|MeganHawthorne|25Wk46|MMBTrioTest,,,,,,,
Abbie Crane,INSTAGRAM,houseofabbie,$500,,Micro (10-100k),Superbloom,Testimonial,LuxuryForLess,,Holiday Kit - MB,,,One Product,11/18/2025,90,,CONTENT,Paused,11/18,30,12/18,12/1,HC044,,,,,,,Video|HolidaySale|HolidayCollection|MiniMiracleBalmTrio|Partnership|houseofabbie|LuxuryForLess|Testimonial|Superbloom|HC044|Ad00|AbbieCrane|25Wk47|MMBTrioTest,,,,,,,
Allison Kelley,INSTAGRAM,allisonkelleyy,"$2,000",,Mid-tier (100-500k),Superbloom,DesirableSituation,Minimalist,Entrepreneur,Holiday Kit - MB,,,One Product,11/11/2025,90,,CONTENT,Paused,11/18,30,12/18,12/1,RHM290,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|allisonkelleyy|LifeJuggler|NewMom|Testimonial|Superbloom|RHM290|Ad00|AllisonKelleyHoliday|25Wk47|MMBTrioTest,,,,,,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LuxuryForLess,,Holiday Kit - MB,,,One Product,,,,,Paused,11/18,,,12/1,HC062,,,,,,,Video|HolidaySale|HolidayCollection|MiniMiracleBalmTrio|Partnership|emilydidonato|LuxuryForLess|Testimonial|Internal|HC062|Ad00|EmilyDiDonatoSale|25Wk47|EmilyHolidayGifts,,,,,,,
Megan Hawthorne,INSTAGRAM,megan.hawthorne,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,12/11/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Iliza Shlesinger,INSTAGRAM,ilizas,"$10,000",,Powerhouse (1M+),Internal,ProblemSolution,LifeJuggler,RepeatMom,Holiday Kit - Party,,,One Product,11/6/2026,,,CONTENT,Paused,11/18,30,12/18,12/18,HC066,,,,,,,Video|HolidayCollection|PartyKit|Partnership|ilizas|LifeJuggler|RepeatMom|Testimonial|Internal|HC066|Ad00|IlizaPartyIterate|25Wk47|PartyKitTest,,,,,,,
Michelle Bruni,INSTAGRAM,bilingualcoco,"$2,500",,Micro (10-100k),Aspire,Testimonial,LifeJuggler,RepeatMom,JETM,MB,,Multi Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Agee Gretta Leinberry,INSTAGRAM,ageegretta,"$3,000",,Micro (10-100k),Superbloom,DesirableSituation,LifeJuggler,NewMom,Mini MB,,,One Product,11/12/2025,90,,CONTENT,Paused,11/21,30,12/21,12/1,M248,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|ageegretta|LifeJuggler|Testimonial|Superbloom|M248|Ad00|AgeeGrettaLeinberry|25Wk47|MMBTest,,,,,,,
Mikayla Breann,INSTAGRAM,mikayla_breann,,,Micro (10-100k),Internal,Testimonial,SkincareEnthusiast,,JETM,,,One Product,,,,,Paused,,,,3/5,J024,,,,,,,Video|JETM|MikaylaUGC|CanWeTalkAboutShadeMatch|MikaylaApplication|Testimonial|SkincareEnthusiast|Internal|PartnershipWithmikayla_breann|J024|25WK18|TrojanHorse,,,,,No,,
Ashley Kaylen ,INSTAGRAM,kaykaybrown,"$1,500",,Micro (10-100k),Superbloom,DesirableSituation,FashionEnthusiast,Entrepreneur,Holiday Kit - Party,,,One Product,11/3/2025,90,,CONTENT,Paused,11/21,30,12/21,12/19,HC059,,,,,,,Video|HolidayCollection|Partnership|kaykaybrown|LuxuryForLess|Testimonial|Superbloom|HC059|Ad00|AshleyBrown|25Wk47|PartyKitTest,,,,,,,
Molly-Anne Fogleman ,INSTAGRAM,mollyanneseymour,$0,,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,NewMom,Holiday Kit - MB,,,One Product,12/1/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Ellen Kim/Hong,INSTAGRAM,ellenorkim,$0,,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,MB,WTF,FP,Multi Product,10/22/2025,90,,CONTENT,Active,11/21,30,12/21,,RHM276,,,,,,,Video|WTF|MiracleBalm|FacePencil|Partnership|ellenorkim|LifeJuggler|RepeatMom|Testimonial|Superbloom|RHM276|Ad00|EllenKimV4|25Wk47|MultiProductMomTrojan,,"$2,000.00",Renewed,,,,
Monica Grayce,INSTAGRAM,monicagrayce,"$1,000",,Micro (10-100k),Superbloom,DesirableSituation,HealthEnthusiast,,Holiday Kit - MB,,,One Product,12/2/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Monica Kim,INSTAGRAM,__monicakim,"$3,200",,Mid-tier (100-500k),Aspire,ProblemSolution,BeautyEnthusiast,RepeatMom,JETM,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Juli Roth,INSTAGRAM,paleomg,"$2,500",,Mid-tier (100-500k),Superbloom,,,,MB,WTF,,Multi Product,10/17/2025,90,,CONTENT,Paused,11/21,30,12/21,1/26,RHM280,,,,,,,Video|WTF|MiracleBalm|Partnership|paleomg|LifeJuggler|NewMom|Testimonial|Superbloom|RHM280|Ad00|JuliRoth|25Wk47|MultiProductMomTrojan,,"$1,000.00",,,,,
Kayleigh Adam,INSTAGRAM,kayleighskloset,"$2,000",,Micro (10-100k),Superbloom,ProblemSolution,FashionEnthusiast,CareerWoman,WTF,MB,,One Product,10/21/2025,90,,CONTENT,Paused,11/21,30,12/21,12/8,RHM277,,,,,,,Video|WTF|MiracleBalm|Partnership|kayleighskloset|LifeJuggler|CareerWoman|Testimonial|Superbloom|RHM277|Ad00|KayleighAdam|25Wk47|MBWTFTrojan,,,,,,,
Kelli Stockley ,INSTAGRAM,emma_grace_blog,"$1,500",,Mid-tier (100-500k),Superbloom,DesirableSituation,BeautyEnthusiast,NewMom,WTF,MB,Mascara,Multi Product,10/28/2025,90,,CONTENT,Paused,11/21,30,12/21,12/15,RHM278,,,,,,,Video|WTF|MiracleBalm|Mascara|Partnership|emma_grace_blog|LifeJuggler|Testimonial|Superbloom|RHM278|Ad00|KelliStockley|25Wk47|WTFMultiProductBusyWomenTrojan,,,,,,,
Lynn Shabinsky,INSTAGRAM,whitehairwisdom,"$4,500",,Powerhouse (1M+),Superbloom,ProblemSolution,,,MB,WTF,,Multi Product,10/21/2025,90,,CONTENT,Paused,11/21,30,12/21,12/3,RHM281,,,,,,,Video|WTF|MiracleBalm|Partnership|whitehairwisdom|Minimalist|Testimonial|Superbloom|RHM281|Ad00|LynnShabinskyDaughter|25Wk47|MBWTFTrojan,,,,,,,
Lynn Shabinsky,INSTAGRAM,whitehairwisdom,"$4,500",,Powerhouse (1M+),Superbloom,ProblemSolution,,,Mini MB,,,One Product,11/6/2025,90,,CONTENT,Paused,11/21,30,12/21,12/1,M242,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|whitehairwisdom|LuxuryForLess|Testimonial|Superbloom|M242|Ad00|LynnShabinsky|25Wk47|MMBTest,,,,,,,
Nita Mann,INSTAGRAM,nextwithnita,"$2,500",,Mid-tier (100-500k),Superbloom,DesirableSituation,BeautyNovice,NewMom,Mini MB,,,One Product,11/11/2025,90,,CONTENT,Paused,11/21,30,12/21,12/1,RHM291,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|nextwithnita|LuxuryForLess|Testimonial|Superbloom|RHM291|Ad00|NitaMann|25Wk47|MMBTest,,,,,,,
Sadie Robertson,INSTAGRAM,legitsadierob,"$12,000",,Powerhouse (1M+),Internal,,,,,,,,,,,CONTENT,,,,,,ASANA,,,,,,,,,,,,,,
Taylor Walker,INSTAGRAM,taylorwalkerfit,"$3,000",,Mid-tier (100-500k),Internal,,,,Mini MB,,,One Product,N/A,,,CONTENT,Paused,11/21,30,12/21,12/1,M243,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|taylorwalkerfit|LuxuryForLess|RepeatMom|Sale|Internal|M243|Ad00|TaylorWalker|25Wk47|MMBTest,,,,,,,
Tracy Campoli,INSTAGRAM,tracycampoli,"$1,500",,Mid-tier (100-500k),Superbloom,ProblemSolution,HealthEnthusiast,CareerWoman,MB,,,One Product,10/21/2025,90,,CONTENT,Paused,11/21,60,1/20,12/8,RHM279,,,,,,,Video|MiracleBalm|Partnership|tracycampoli|LifeJuggler|Entrepreneur|Superbloom|RHM279|Ad00|TracyCampoli|25Wk47|MBGeneric,,,,,,,
Alexandrea Garza,INSTAGRAM,alexandreagarza,$0,,Mid-tier (100-500k),Aspire,DesirableSituation,LifeJuggler,RepeatMom,Holiday Kit - Lip,,,One Product,11/20/2025,,,CONTENT,Paused,11/25,30,12/25,12/1,HC073,,,,,,,Video|HolidayCollection|Partnership|alexandreagarza|LifeJuggler|RepeatMom|Sale|Aspire|HC073|Ad00|Alexgarza|25Wk48|HolidayCollectionTest,,,,,,,
Bobbie Thomas,INSTAGRAM,bobbiwiththeeye,"$3,500",,Mid-tier (100-500k),Superbloom,Testimonial,LuxuryForLess,RepeatMom,Holiday Kit - Party,,,,11/19/2025,90,,CONTENT,Paused,11/25,30,12/25,12/1,HC071,,,,,,,Video|HolidaySale|HolidayCollection|PartyKit|Partnership|bobbiewiththeye|LuxuryForLess|RepeatMom|Testimonial|Superbloom|HC071|Ad00|BobbieThomas|25Wk48|PartyKitTest,,,,,,,
Lauren Ashley Patao,INSTAGRAM,"laurenashleypatao
","$1,750",,Micro (10-100k),Superbloom,ProblemSolution,LifeJuggler,NewMom,Holiday Kit - MB,WTF,Mascara,Multi Product,11/13/2025,90,,CONTENT,Paused,11/25,30,12/25,12/1,HC070,,,,,,,Video|HolidayCollection|WTF|MiniMiracleBalm|Partnership|laurenashleypatao|LifeJuggler|Testimonial|Superbloom|HC070|Ad00|LaurenAshleyPatao|25Wk48|MMBTrioTest,,,,,,,
Tiara Jones,INSTAGRAM,jones_tiara,"$1,200",,Micro (10-100k),Superbloom,DesirableSituation,BeautyEnthusiast,Executive,Mini MB,,,One Product,11/13/2025,90,,CONTENT,Paused,11/25,30,12/25,12/1,HC072,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|jones_tiara|LuxuryForLess|Testimonial|Superbloom|HC072|Ad00|TiaraJones|25Wk48|MMBTest,,,,,,,
Ellen Kim/Hong,INSTAGRAM,ellenorkim,"$3,250",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,ProfessionalMom,Mini MB,,,One Product,11/25/2025,90,,CONTENT,Paused,11/28,30,12/28,12/1,HS042,,,,,,,Video|HolidaySale|BlackFriday|MiniMiracleBalm|Partnership|ellenorkim|LuxuryForLess|RepeatMom|Testimonial|Superbloom|HS042|Ad00|EllenKimMMBSet|25Wk48|MMBTest,,,,,,,
Juli Roth,INSTAGRAM,paleomg,"$1,500",,Mid-tier (100-500k),Superbloom,Testimonial,LuxuryForLess,,Mini MB,,,One Product,11/21/2025,90,,CONTENT,Paused,11/28,60,1/27,12/1,M256,,,,,,,Video|HolidaySale|MiniMiracleBalm|Partnership|paleomg|LuxuryForLess|Testimonial|Superbloom|M256|Ad00|JuliRoth|25Wk48|MMBTest,,,,,,,
Simone Alyssa ,INSTAGRAM,simone_alyssaa,"$3,000",,Micro (10-100k),Superbloom,Sale,Minimalist,,Mini MB,,,One Product,12/1/2025,90,,CONTENT,Paused,11/28,30,12/28,12/1,HS46,,,,,,,Video|HolidaySale|BlackFriday|MiniMiracleBalm|Partnership|simone_alyssaa|Minimalist|Sale|Superbloom|HS46|Ad00|SimoneMMB|25Wk48|MMBTest,,,,,,,
Anne Richards,INSTAGRAM,annevrichards,"$1,500",,Mid-tier (100-500k),Superbloom,Testimonial,HealthEnthusiast,,Mini MB,,,One Product,11/24/2025,90,,CONTENT,Paused,12/1,30,12/31,12/1,ASANA,,,,,,,,,,,,,,
Audrey Martinez,INSTAGRAM,audreymadstowe,"$2,500",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,WTF,MB,,Multi Product,10/17/2025,90,,CONTENT,Paused,12/4,30,1/3,12/11,RHM293,,,,,,,Video|WTF|MiracleBalm|Partnership|audreymadstowe|LifeJuggler|NewMom|Testimonial|Superbloom|RHM293|Ad00|AudreyMartinez|25Wk49|MultiProductMomTrojan,,,,,,,
Barbara Mighdoll,INSTAGRAM,newmodernmom,"$6,000",,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,RepeatMom,JETM,MB,Mascara,Multi Product,10/31/2025,90,,CONTENT,Paused,12/4,30,1/3,1/7/26,RHM294,,,,,,,Video|JETM|MiracleBalm|Mascara|Partnership|newmodernmom|LifeJuggler|RepeatMom|Testimonial|Superbloom|RHM294|Ad00|BarbaraMighdoll|25Wk49|MultiProductMomTrojan,,,,,,,
Jade Liz Rope,INSTAGRAM,jadelizroper,"$7,500",,Powerhouse (1M+),Superbloom,DesirableSituation,LifeJuggler,NewMom,WTF,MB,Cool Gloss,Multi Product,10/31/2025,90,,CONTENT,Paused,12/4,30,1/3,2/6,RHM295,,,,,,,Video|WTF|MiracleBalm|Partnership|jadelizroper|LifeJuggler|NewMom|DesirableSituation|Superbloom|RHM295|Ad00|JadeLizRope|25Wk49|MultiProductMomTrojan,,"$3,000.00",,,,,
Jeanette Aranda ,INSTAGRAM,shutthekaleup,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,SkincareEnthusiast,,WTF,MB,,,10/17/2025,90,,CONTENT,Paused,12/4,30,1/3,12/11,RHM296,,,,,,,Video|WTF|MiracleBalm|Mascara|Partnership|shutthekaleup|SkincareEnthusiast|Testimonial|Superbloom|RHM296|Ad00|JeanetteAranda|25Wk49|MBWTFTrojan,,,,,,,
Jordan Ozuna,INSTAGRAM,jiordyn,"$3,000",,Established (500k-1M),Superbloom,Testimonial,LifeJuggler,NewMom,Holiday Kit - MB,,,One Product,11/18/2025,90,,CONTENT,Paused,12/4,30,1/3,1/3,HC074,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|jiordyn|LifeJuggler|NewMom|Testimonial|Superbloom|HC074|Ad00|JordanOzuna|25Wk49|MMBTrioTest,,,,,,,
Amanda Stanton,INSTAGRAM,amanda_stantonn,"$3,000",,Powerhouse (1M+),Superbloom,,,,WTF,MB,,Multi Product,10/17,90,,CONTENT,Paused,12/11,30,1/10,2/6,RHM292,,,,,,,Video|WTF|MiracleBalm|Partnership|amanda_stantonn|LifeJuggler|RepeatMom|Testimonial|Superbloom|RHM292|Ad00|AmandaStanton|25Wk50|MBWTFTrojan,,,,,,,
BRIANNA JOYE,INSTAGRAM,briannajoye_fitness,$0,,Powerhouse (1M+),Aspire,Testimonial,LifeJuggler,,Holiday Kit - MB,,,One Product,11/20/2025,,,CONTENT,Paused,12/11,30,1/10,1/2,HC093,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|briannajoye_fitness|LifeJuggler|Testimonial|Aspire|HC093|Ad00|BriannaMBTrio|25Wk50|MMBTrioTest,,,,,,,
Dannaed Garcia,INSTAGRAM,dannaed_,"$1,000",,Micro (10-100k),Superbloom,Testimonial,BeautyEnthusiast,,Holiday Kit - Lip,,,One Product,12/8/2025,90,,CONTENT,Paused,12/11,30,1/10,12/15,HC091,,,,,,,Video|HolidayCollection|MiniLipKit|Partnership|dannaed_|BeautyEnthusiast|Testimonial|Superbloom|HC091|Ad00|DannaedGarciaLip|25Wk50|MiniLipKitTest,,,,,,,
Elle Leonard ,INSTAGRAM,elleleonard,$0,,Mid-tier (100-500k),Aspire,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - Party,,,One Product,12/9/2025,,,CONTENT,Paused,12/11,,,02/19,HC094,,,,,,,Video|HolidayCollection|PartyKit|Partnership|elleleonard|LifeJuggler|RepeatMom|Testimonial|Aspire|HC094|Ad00|EllePartyKit|25Wk50|PartyKitTest,,,,,,,
Sophia Amoruso,INSTAGRAM,sophiaamoruso,,,Established (500k-1M),Internal,ProblemSolution,LifeJuggler,CareerWoman,,,,,,,,CONTENT,,,,,,ASANA,,,,,,,,,,,,,,
Sophie Jaffe,INSTAGRAM,sophie.jaffe,"$5,000",,Mid-tier (100-500k),Aspire,ProblemSolution,HealthEnthusiast,RepeatMom,JETM,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Steph Marie,INSTAGRAM,simplicatedsteph,"$3,000",,Mid-tier (100-500k),Superbloom,DesirableSituation,FashionEnthusiast,,Holiday Kit - MB,,,One Product,11/24/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Jules Jacobson,INSTAGRAM,jules.jacobson,"$4,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,MB,FP,,Multi Product,10/9/2025,90,,CONTENT,Paused,12/11,30,1/10,12/14,RHM297,,,,,,,Video|FacePencil|MiracleBalm|LippieStick|Partnership|jules.jacobson|LifeJuggler|NewMom|Testimonial|Superbloom|RHM297|Ad00|JulesJacobson|25Wk50|MultiProductMomTrojan,,,,,,All Access,
Katrina McKenna,INSTAGRAM,katrinamckenna_,$0,,Powerhouse (1M+),Aspire,Testimonial,LifeJuggler,NewMom,Holiday Kit - Party,,,One Product,12/9/2025,,,CONTENT,Paused,12/11,,,,HC100,,,,,,,Video|HolidayCollection|PartyKit|Partnership|katrinamckenna_|LuxuryForLess|NewMom|Testimonial|Aspire|HC100|Ad00|KatrinaMcKennaPK2|25Wk50|PartyKitTest,,,,,,,
Katrina McKenna,INSTAGRAM,katrinamckenna_,$0,,Powerhouse (1M+),Aspire,Testimonial,LifeJuggler,NewMom,Holiday Kit - MB,,,One Product,12/9/2025,,,CONTENT,Paused,12/11,,,,HC101,,,,,,,Video|HolidayCollection|PartyKit|Partnership|katrinamckenna_|LuxuryForLess|NewMom|Testimonial|Aspire|HC100|Ad00|KatrinaMcKennaPK2|25Wk50|PartyKitTest,,,,,,,
Shannon Rihm,INSTAGRAM,this_lovely_life_of_mine,"$1,500",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,11/14/2025,45,,CONTENT,Paused,12/11,15,12/26,12/23,HC080,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|this_lovely_life_of_mine|LifeJuggler|RepeatMom|Testimonial|Superbloom|HC080|Ad00|ShannonRihm|25Wk50|MMBTrioTest,,,,,,,
Shawn Johnson,INSTAGRAM,"shawnjohnson
","$15,000",,Powerhouse (1M+),Superbloom,Testimonial,Athlete,,MB,Holiday Kit - MB,,Multi Product,12/3/2025,30,,CONTENT,Paused,12/11,30,1/10,1/3,RHM313 HC098 HC087,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|shawnjohnson|Athlete|Testimonial|Superbloom|RHM313|Ad00|ShawnJohnson|25Wk50|ShawnJohnsonTest,,,,,,,
Whitney Buha,INSTAGRAM,somethingwhitty,$0,,Mid-tier (100-500k),Superbloom,Testimonial,BeautyEnthusiast,,Holiday Kit - Party,,,One Product,11/11/2025,90,,CONTENT,Paused,12/11,30,1/10,1/7/26,HC081,,,,,,,Video|HolidayCollection|PartyKit|Partnership|somethingwhitty|BeautyEnthusiast|Testimonial|Superbloom|HC081|Ad00|WhitneyBuha|25Wk50|PartyKitTest,,,,,,,
Annie Jaffrey,INSTAGRAM,anniejaffey,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,MB,,,One Product,11/14/2025,90,,CONTENT,Paused,12/18,60,2/16,12/21,M258,,,,,,,Video|MiracleBalm|Partnership|anniejaffrey|LifeJuggler|NewMom|Testimonial|Superbloom|M258|Ad00|AnnieJaffrey|25Wk51|MiracleBalmPDPGWP,,,,,,,
Clancy Burke,INSTAGRAM,clancyburke,"$1,000",20%,Micro (10-100k),Agentio,DesirableSituation,,NewMom,JETM,,,One Product,9/26/2025,90,,CONTENT,Paused,12/18,,,12/21,J111,,,,,,,Video|JETM|Partnership|clancyburke|LifeJuggler|NewMom|Testimonial|Agentio|J111|Ad00|ClancyBurke|25Wk51|JETMMomsListicle,,,,,,,
Jess Clarke,INSTAGRAM,jessclarke_,"$3,500",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,,Holiday Kit - Lip,,,One Product,11/20/2025,90,,CONTENT,Paused,12/18,30,1/17,1/8,HC082,,,,,,,Video|HolidayCollection|MiniLipKit|Partnership|jessclarke_|LifeJuggler|Testimonial|Superbloom|HC082|Ad00|JessClarke|25Wk51|MiniLipKitTest,,,,,,,
Shawn Johnson,INSTAGRAM,"shawnjohnson
","$15,000",,Powerhouse (1M+),Superbloom,Testimonial,Athlete,,MB,Holiday Kit - MB,,Multi Product,12/3/2025,30,,CONTENT,Paused,12/18,30,1/17,1/3,HC097,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|shawnjohnson|Athlete|Testimonial|Internal|HC097|Ad00|ShawnJohnson2|25Wk51|ShawnJohnsonTest,,,,,,,
Ashley Petta,INSTAGRAM,ashleypetta,"$3,800",,Mid-tier (100-500k),Superbloom,Testimonial,Minimalist,,Holiday Kit - MB,,,One Product,11/19/2025,90,,CONTENT,Paused,12/25,30,1/24,12/28,HC079,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|ashleypetta|Minimalist|Testimonial|Superbloom|HC079|Ad00|AshleyPetta|25Wk52|MMBTrioTest,,,,,,,
BRIANNA JOYE,INSTAGRAM,briannajoye_fitness,$0,,Powerhouse (1M+),Aspire,Testimonial,LifeJuggler,NewMom,MB,,,Multi Product,11/20/2025,,,CONTENT,Paused,12/25,30,1/24,12/28,M270,,,,,,,Video|MiracleBalm|Partnership|briannajoye_fitness|LifeJuggler|NewMom|Testimonial|Aspire|M270|Ad00|BriannaJoyeMB|25Wk52|MultiProductMomTrojan,,,,,,,
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$3,000",N/A,Established (500k-1M),Internal,,,,,,,,,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Tonya Morris,INSTAGRAM,tonyamichelle26,"$1,500",,Established (500k-1M),Internal,Testimonial,LifeJuggler,RepeatMom,MB,FP,,Multi Product,N/A,,,CONTENT,Paused,01/09/2026,,,,M266,,,,,,,Video|MiracleBalm|FacePencil|SPF|Partnership|tonyamichelle26|LifeJuggler|RepeatMom|Testimonial|Internal|M266|Ad00|TonyaMorrisGRWM|26Wk02|MultiProductMomTrojan,,,,,,,
